epic,course,course_sequence,module,worksheet_title,assessment_type,status,grade,question_count,learnosity_reference,thinkster_worksheet_id,thinkster_worksheet_number,selected_concept_id,selected_topic_id,activity_id,created_at
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Worksheet 1",Practice,Published,,5,,,,T.AL2.MOD.1,,8a66f2c7-d6c8-4c51-b1e8-f9847fc4fdef,2026-06-18T10:49:23.189Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Worksheet 2",Practice,Published,,5,,,,T.AL2.MOD.1,,1101088e-a680-44e2-a892-ab1b75932d74,2026-06-18T10:49:23.481Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Worksheet 3",Practice,Published,,5,,,,T.AL2.MOD.1,,eef25586-a15c-477a-bcf9-cf5bdeb49a89,2026-06-18T10:49:23.789Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Worksheet 1,Practice,Published,,5,,,,T.AL2.MOD.2,,4229ef1a-760e-434b-a03e-b62c4cf1344b,2026-06-18T10:49:24.097Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Worksheet 2,Practice,Published,,5,,,,T.AL2.MOD.2,,4c1f1ccf-a9e6-42d5-9713-dd213e803c8e,2026-06-18T10:49:24.383Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Worksheet 3,Practice,Published,,5,,,,T.AL2.MOD.2,,0b618dc2-2937-4dcc-8a8f-7795b7432ff8,2026-06-18T10:49:24.711Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Worksheet 1,Practice,Published,,5,,,,T.AL2.MOD.3,,4ae1bf73-f3e0-4412-acc7-d973a9c8f235,2026-06-18T10:49:25.023Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Worksheet 2,Practice,Published,,5,,,,T.AL2.MOD.3,,9e1352f7-dbff-4a70-9b36-92d3e7f01c5a,2026-06-18T10:49:25.268Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Worksheet 3,Practice,Published,,5,,,,T.AL2.MOD.3,,7fbd3beb-e821-438d-a89b-de1aec8a7ab2,2026-06-18T10:49:25.530Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Worksheet 1,Practice,Published,,5,,,,T.AL2.MOD.4,,c24e577b-08ac-4959-9bd4-7acf387a6d83,2026-06-18T10:49:25.841Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Worksheet 2,Practice,Published,,5,,,,T.AL2.MOD.4,,9b635972-17d9-43c7-9f69-ff42623810ae,2026-06-18T10:49:26.065Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Worksheet 3,Practice,Published,,5,,,,T.AL2.MOD.4,,680fc9e1-d5b1-45f4-9f2a-b5e8403a870f,2026-06-18T10:49:26.344Z
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Review Worksheet 1",Review,Published,,8,AQMODRAL201,TAQAL201MODR_1,AQMODRAL201,T.AL2.MOD.1,T.AL2.MOD,20a2f1f7-ff4e-4b06-8fff-996f49a8b4e3,2026-07-01T16:59:43.343209+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Review Worksheet 2",Review,Published,,8,AQMODRAL202,TAQAL202MODR_1,AQMODRAL202,T.AL2.MOD.1,T.AL2.MOD,68e5bb16-9691-423d-9a70-682e738696b6,2026-07-01T16:59:44.425172+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)","Function modeling (linear, quadratic, exponential, rational) - Review Worksheet 3",Review,Published,,8,AQMODRAL203,TAQAL203MODR_1,AQMODRAL203,T.AL2.MOD.1,T.AL2.MOD,fd42e214-edb0-4a36-9bd3-d64528e86b91,2026-07-01T16:59:45.221469+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Review Worksheet 1,Review,Published,,8,AQMODRAL204,TAQAL204MODR_1,AQMODRAL204,T.AL2.MOD.2,T.AL2.MOD,53114aa6-074f-4a0a-9417-83ac12981ab3,2026-07-01T16:59:45.921497+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Review Worksheet 2,Review,Published,,8,AQMODRAL205,TAQAL205MODR_1,AQMODRAL205,T.AL2.MOD.2,T.AL2.MOD,31f4f3cd-ae13-4a9a-a54e-5effef89c894,2026-07-01T16:59:46.582130+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Interpreting parameters - Review Worksheet 3,Review,Published,,8,AQMODRAL206,TAQAL206MODR_1,AQMODRAL206,T.AL2.MOD.2,T.AL2.MOD,b58953d1-850b-4603-badd-c436aad6b2b2,2026-07-01T16:59:47.250084+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Review Worksheet 1,Review,Published,,8,AQMODRAL207,TAQAL207MODR_1,AQMODRAL207,T.AL2.MOD.3,T.AL2.MOD,5a99bdbc-0430-49cc-b622-ad6dbfd0b07a,2026-07-01T16:59:48.150167+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Review Worksheet 2,Review,Published,,8,AQMODRAL208,TAQAL208MODR_1,AQMODRAL208,T.AL2.MOD.3,T.AL2.MOD,bcd04e8a-28c8-485f-b09c-7670be9540bc,2026-07-01T16:59:49.078829+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Real-world problem solving - Review Worksheet 3,Review,Published,,8,AQMODRAL209,TAQAL209MODR_1,AQMODRAL209,T.AL2.MOD.3,T.AL2.MOD,bdc701d7-31fa-4870-9ffb-f673f4d45a14,2026-07-01T16:59:49.896335+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Review Worksheet 1,Review,Published,,8,AQMODRAL210,TAQAL210MODR_1,AQMODRAL210,T.AL2.MOD.4,T.AL2.MOD,3a41a0d8-f0b4-4f76-bc24-adcdde8e38ba,2026-07-01T16:59:50.820172+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Review Worksheet 2,Review,Published,,8,AQMODRAL211,TAQAL211MODR_1,AQMODRAL211,T.AL2.MOD.4,T.AL2.MOD,f89aa446-2d99-4db3-9ac1-610c56031327,2026-07-01T16:59:51.575147+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Scatter plots & best-fit models - Review Worksheet 3,Review,Published,,8,AQMODRAL212,TAQAL212MODR_1,AQMODRAL212,T.AL2.MOD.4,T.AL2.MOD,1fb81656-3ad4-4f22-98af-3b25fe01f1d7,2026-07-01T16:59:52.729739+00:00
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Modeling & Applications - UT L1 (Set 1),Test,Published,,10,AQUTAL2MODL101,TAQUTAL2MODL101_1,AQUTAL2MODL101,T.AL2.MOD.1,T.AL2.MOD,31e34ec3-fa0c-4874-b1c9-67998f791e2f,
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Modeling & Applications - UT L1 (Set 2),Test,Published,,10,AQUTAL2MODL102,TAQUTAL2MODL102_1,AQUTAL2MODL102,T.AL2.MOD.1,T.AL2.MOD,6dffa50f-c539-4f12-9ab0-e1ec09c6ac06,
